,date,Chla,Chla_N,Chla_S
0,2008-01-14,18.166666666666668,20.333333333333332,16.75
1,2008-02-14,13.166666666666666,15.333333333333334,12.0
2,2008-03-11,15.166666666666666,18.0,10.5
3,2008-04-14,20.833333333333332,26.333333333333332,22.75
4,2008-05-21,26.333333333333332,33.666666666666664,19.0
5,2008-06-09,16.25,15.0,17.375
6,2008-07-21,20.833333333333332,27.666666666666668,13.75
7,2008-08-11,13.566666666666668,15.799999999999999,12.25
8,2008-09-23,13.25,13.5,15.333333333333334
9,2008-10-20,12.25,15.0,12.666666666666666
10,2008-11-18,13.125,9.25,16.333333333333332
11,2008-12-16,5.0,5.0,5.0
12,2009-01-13,5.625,5.75,6.333333333333333
13,2009-02-12,5.0,5.0,5.333333333333333
14,2009-03-10,11.625,11.75,15.0
15,2009-04-28,18.25,21.5,20.0
16,2009-05-12,12.178571428571429,18.416666666666668,9.4
17,2009-06-10,13.25,18.666666666666668,9.625
18,2009-07-07,26.75,31.0,21.666666666666668
19,2009-08-18,18.875,26.25,21.666666666666668
20,2009-09-15,11.375,15.75,11.666666666666666
21,2009-10-13,17.75,18.5,16.666666666666668
22,2009-11-17,14.625,23.25,16.333333333333332
23,2009-12-15,9.75,10.5,12.0
24,2010-01-14,5.25,6.0,4.666666666666667
25,2010-03-10,9.9375,12.875,11.0
26,2010-04-20,4.5,5.0,5.333333333333333
27,2010-05-19,8.0,11.0,10.0
28,2010-06-15,26.25,20.0,31.0
29,2010-07-13,15.875,17.75,18.666666666666668
30,2010-08-25,26.5,42.0,9.666666666666666
31,2010-09-20,52.5,73.0,57.0
32,2010-10-20,16.05,16.0,16.900000000000002
33,2010-12-15,8.641666666666675,9.48333333333335,7.099999999999999
34,2011-01-04,8.95,8.65,9.6
35,2011-02-14,11.085714285714285,15.233333333333334,8.02
36,2011-03-08,9.141666666666675,12.48333333333335,8.166666666666666
37,2011-04-18,12.15,14.5,9.933333333333332
38,2011-05-09,23.7,23.7,
39,2011-06-07,14.523809523809529,22.688888888888897,10.42
40,2011-07-12,13.299999999999999,5.086666666666667,18.34
41,2011-08-02,10.852857142857143,15.176666666666668,6.942
42,2011-09-19,16.6,21.666666666666668,13.9
43,2011-10-10,12.098571428571429,18.0,8.258000000000001
44,2011-11-14,8.0,8.725,6.7
45,2011-12-06,20.0,6.32,24.400000000000002
46,2012-01-24,6.615,7.905,6.11
47,2012-02-06,7.085000000000001,8.68,7.826666666666665
48,2012-03-20,19.255,10.325,22.52333333333333
49,2012-04-03,11.157500000000002,16.165,12.300000000000002
50,2012-05-21,12.072857142857144,17.266666666666666,9.202000000000002
51,2012-06-11,19.435714285714283,33.46666666666667,12.15
52,2012-07-17,15.256666666666668,27.5,9.135000000000002
53,2012-08-14,13.6475,19.835,7.5299999999999985
54,2012-09-19,13.23,17.82,14.36
55,2012-10-09,16.668,22.44333333333333,14.236666666666666
56,2012-11-27,10.424000000000001,11.82,8.823333333333334
57,2012-12-11,7.484,7.54,7.206666666666666
58,2013-01-08,6.76,8.153333333333334,5.883333333333334
59,2013-02-11,9.836,13.633333333333333,7.759999999999999
60,2013-03-27,15.26,16.833333333333332,12.199999999999998
61,2013-04-08,10.656,13.706666666666669,6.1933333333333325
62,2013-05-14,17.939999999999998,20.633333333333336,13.166666666666666
63,2013-06-03,52.9,78.53333333333333,30.96666666666667
64,2013-07-17,18.009999999999998,22.900000000000002,11.450000000000001
65,2013-08-06,23.599999999999998,30.866666666666664,12.333333333333334
66,2013-09-17,16.29,23.0,8.483333333333333
67,2013-10-01,27.668,39.333333333333336,22.680000000000003
68,2013-11-12,23.752000000000002,32.23333333333333,14.719999999999999
69,2013-12-04,9.998000000000001,9.016666666666666,9.583333333333334
70,2014-01-14,13.356,17.296666666666667,10.729999999999999
71,2014-02-05,31.172000000000004,32.18666666666667,34.833333333333336
72,2014-03-11,8.366,11.146666666666667,6.23
73,2014-04-15,21.398,31.333333333333332,13.33
74,2014-05-14,46.676,68.13333333333334,25.993333333333336
75,2014-06-04,49.926,75.53333333333333,29.51
76,2014-07-15,33.760000000000005,30.766666666666666,35.6
77,2014-08-05,15.8225,19.9,12.163333333333334
78,2014-09-02,39.540000000000006,51.9,30.899999999999995
79,2014-10-07,19.698,27.26666666666667,10.696666666666667
80,2014-11-04,20.116,26.866666666666664,10.36
81,2014-12-02,13.616000000000003,18.42,6.733333333333333
82,2015-01-06,9.780000000000001,12.503333333333336,9.563333333333334
83,2015-02-03,8.225999999999999,8.943333333333333,7.266666666666666
84,2015-03-03,22.892,32.18666666666667,25.166666666666668
85,2015-04-07,10.7,14.0,7.733333333333333
86,2015-05-12,16.435,18.666666666666664,11.82
87,2015-06-03,25.619999999999997,35.03333333333334,24.066666666666666
88,2015-07-08,23.467142857142857,17.123333333333335,26.839999999999996
89,2015-08-04,16.935714285714287,19.923333333333336,12.85
90,2015-09-01,25.8,35.199999999999996,19.933333333333334
91,2015-10-06,13.059999999999999,16.763333333333332,14.336666666666668
92,2015-11-04,27.459999999999997,36.46666666666667,22.96666666666667
93,2015-12-01,15.851999999999999,21.766666666666666,8.853333333333333
94,2016-01-11,19.177999999999997,25.996666666666666,11.9
95,2016-02-02,23.56,26.233333333333334,16.866666666666664
96,2016-03-01,10.383999999999999,13.316666666666665,6.423333333333333
97,2016-04-05,9.418000000000001,10.416666666666666,8.126666666666667
98,2016-05-03,9.398,10.19,7.583333333333333
99,2016-06-14,24.119999999999997,34.56666666666667,19.233333333333334
100,2016-07-11,29.064,40.800000000000004,12.306666666666667
101,2016-08-02,32.260000000000005,37.833333333333336,23.633333333333336
102,2016-09-06,29.824,44.699999999999996,16.34
103,2016-10-18,18.802,27.7,14.469999999999999
104,2016-11-01,15.344,20.900000000000002,12.273333333333333
105,2016-12-07,14.478000000000003,19.133333333333336,12.896666666666667
106,2017-01-09,12.851999999999999,15.613333333333335,9.053333333333333
107,2017-02-07,13.66,13.966666666666667,12.600000000000001
108,2017-03-22,9.806000000000001,11.5,7.41
109,2017-04-17,22.938,33.4,16.33
110,2017-05-23,14.588571428571427,22.433333333333334,9.484
111,2017-06-20,17.41,30.333333333333332,9.094000000000001
112,2017-07-10,20.363999999999997,30.166666666666668,11.74
113,2017-08-14,39.2,44.199999999999996,31.433333333333334
114,2017-09-18,15.146,20.830000000000002,7.743333333333333
115,2017-10-10,9.657999999999998,13.486666666666666,6.009999999999999
116,2017-11-07,10.346,14.633333333333335,7.710000000000001
117,2017-12-05,4.686,5.316666666666667,3.9033333333333338
118,2018-01-17,5.432,5.673333333333333,5.826666666666667
119,2018-02-06,4.66,5.146666666666667,4.573333333333333
120,2018-03-06,5.6819999999999995,6.583333333333333,4.75
121,2018-04-03,8.106,9.596666666666666,7.28
122,2018-05-01,13.276,18.076666666666664,6.6499999999999995
123,2018-06-05,25.06,26.400000000000002,25.766666666666666
124,2018-07-17,22.167999999999996,30.8,15.013333333333334
125,2018-08-14,20.48,18.066666666666666,19.866666666666664
126,2018-09-04,16.132,22.96666666666667,10.986666666666666
127,2018-10-16,23.06,22.0,24.099999999999998
128,2018-11-06,29.26,35.800000000000004,25.933333333333334
129,2018-12-04,13.325999999999999,15.476666666666667,9.176666666666668
130,2019-01-08,15.939999999999998,17.53333333333333,13.6
131,2019-02-12,14.086000000000002,18.8,11.243333333333332
132,2019-03-12,13.815999999999999,20.233333333333334,6.626666666666666
133,2019-04-02,14.356,17.833333333333332,12.793333333333335
134,2019-05-08,13.107999999999999,17.53333333333333,8.58
135,2019-06-05,16.830000000000002,22.586666666666662,11.163333333333334
136,2019-07-09,18.142,23.333333333333332,10.336666666666668
137,2019-08-06,19.740000000000002,25.033333333333335,12.333333333333334
138,2019-09-09,21.119999999999997,19.566666666666666,20.73333333333333
139,2019-10-01,28.28,40.1,16.266666666666666
140,2019-11-05,18.296,24.5,14.993333333333334
141,2019-12-03,9.764,11.223333333333334,7.140000000000001
142,2020-01-14,10.45,14.65,7.866666666666667
143,2020-02-04,22.604,26.96666666666667,19.973333333333333
144,2020-02-12,17.91,24.939999999999998,14.11
145,2020-03-10,18.8475,22.633333333333336,11.945
146,2020-04-07,21.9,24.733333333333334,13.45
147,2020-05-05,26.875,29.266666666666666,22.6
148,2020-05-20,31.5125,38.81666666666666,9.225
149,2020-06-02,40.3,47.800000000000004,21.4
150,2020-06-23,43.6,29.566666666666663,52.05
151,2020-07-07,65.225,65.63333333333334,41.4
152,2020-07-21,27.425,31.433333333333337,15.7
153,2020-08-04,27.275,29.2,27.0
154,2020-08-25,28.75,31.733333333333334,17.8
155,2020-09-08,24.2,19.433333333333334,24.25
156,2020-09-23,47.05,49.199999999999996,40.3
157,2020-10-06,38.035,47.800000000000004,31.42
158,2020-10-21,19.86,25.103333333333335,12.264999999999999
159,2020-11-17,10.8625,12.473333333333334,7.8100000000000005
160,2020-12-15,18.025,18.4,18.4
161,2021-01-05,6.630000000000001,6.766666666666667,7.720000000000001
162,2021-02-09,13.685,12.446666666666667,13.32
163,2021-03-10,8.86,9.586666666666666,7.395
164,2021-04-06,11.5875,11.383333333333335,9.76
165,2021-05-04,21.525000000000002,21.1,17.85
166,2021-05-18,24.8,27.53333333333333,16.200000000000003
167,2021-06-08,11.945,13.146666666666667,8.84
168,2021-06-22,24.224999999999998,26.466666666666665,15.9
169,2021-07-08,17.4,17.666666666666668,14.700000000000001
170,2021-07-20,30.525,33.63333333333333,19.65
171,2021-08-03,18.5,19.36666666666667,12.05
172,2021-08-24,24.049999999999997,27.866666666666664,18.1
173,2021-09-08,18.575,18.733333333333334,19.700000000000003
174,2021-09-21,35.3,43.70000000000001,31.150000000000002
175,2021-10-05,32.35,38.300000000000004,37.45
176,2021-10-19,36.225,43.43333333333334,35.5
177,2021-11-02,24.3,27.400000000000002,31.0
178,2021-12-07,20.5725,17.63,20.65
179,2022-01-04,20.13,24.05333333333333,8.809999999999999
180,2022-02-08,17.962500000000002,20.516666666666666,9.765
181,2022-03-08,25.3125,31.400000000000002,26.525
182,2022-04-05,14.3675,16.923333333333336,7.9350000000000005
183,2022-05-03,20.63,25.900000000000002,17.310000000000002
184,2022-05-18,42.25,48.73333333333333,41.4
185,2022-06-07,43.4,53.699999999999996,19.45
186,2022-06-21,74.4275,96.35333333333334,9.055
187,2022-07-06,58.375,70.36666666666666,72.7
188,2022-07-19,27.150000000000002,30.76666666666667,16.1
189,2022-08-02,24.7,28.0,13.5
190,2022-08-16,31.575,36.93333333333333,17.15
191,2022-09-06,31.924999999999997,38.26666666666667,27.5
192,2022-09-20,32.175,36.833333333333336,26.5
193,2022-10-04,22.912499999999998,27.400000000000002,16.325
194,2022-10-18,20.3425,24.766666666666666,16.384999999999998
195,2022-11-15,17.9225,21.44333333333333,8.655
196,2022-12-06,10.035,10.916666666666666,7.015
197,2023-01-10,6.32,6.746666666666667,5.975
198,2023-02-07,5.835,5.823333333333333,5.785
199,2023-03-07,8.1625,9.386666666666667,8.344999999999999
200,2023-04-04,23.729999999999997,26.906666666666666,35.25
201,2023-05-02,4.2475000000000005,4.963333333333334,3.465
202,2023-05-16,1.29925,1.7590000000000001,-0.08
203,2023-06-06,14.305,16.066666666666666,11.51
204,2023-06-21,69.75,34.0,107.7
205,2023-07-11,28.525000000000002,30.366666666666664,28.1
206,2023-07-25,33.475,40.1,22.7
207,2023-08-08,32.5,35.63333333333333,25.4
208,2023-08-22,24.575,29.099999999999998,20.1
209,2023-09-05,30.085,36.96666666666667,21.97
210,2023-09-19,27.427500000000002,34.333333333333336,19.405
211,2023-10-03,36.33,45.833333333333336,24.71
212,2023-10-17,27.515,33.93333333333333,9.530000000000001
213,2023-11-14,15.615,18.34,10.97
214,2023-12-12,17.17,20.273333333333333,14.129999999999999
